TESTNUM,POINTNUM,TIME,POSIT,FORCE,EXT,CH5,CH6,CH7,CH8
762,1,5.969,0.01284,201.0307922,0.00157222,-0.00713297,,,
762,2,6.242,0.01392,215.2358856,9.09E-06,-0.01458097,,,
762,3,6.936,0.01646,246.8167419,-0.00083178,0.00694171,,,
762,4,8.632,0.023399999,371.8703613,0.00220284,0.0007763,,,
762,5,10.533,0.031099999,502.5018616,0.00148073,0.01810245,,,
762,6,11.835,0.03692,637.569519,0.00022851,0.031187071,,,
762,7,13.035,0.041540001,761.9814453,-0.00033826,0.040120158,,,
762,8,13.838,0.045019999,885.5032349,0.00096887,0.042809092,,,
762,9,14.731,0.048859999,1017.265686,0.00240393,0.046578091,,,
762,10,15.735,0.053100001,1155.112427,0.0041315,0.048074439,,,
762,11,16.532,0.056200001,1285.981689,0.00582248,0.042539071,,,
762,12,16.631,0.056639999,1160.692139,0.00541113,0.042539071,,,
762,13,16.736,0.057080001,979.7282715,0.00607841,0.041672759,,,
762,14,17.036,0.058499999,1139.007202,0.00848234,0.043484129,,,
762,15,17.332,0.05954,1278.119507,0.01095943,0.040390179,,,
762,16,17.937,0.06188,1419.130859,0.01297027,0.035214841,,,
762,17,18.534,0.064560004,1561.026733,0.01446024,0.04692686,,,
762,18,19.132,0.0669,1691.000122,0.016068891,0.048715729,,,
762,19,19.639,0.069219999,1829.08606,0.017933549,0.047838181,,,
762,20,20.242,0.071520001,1966.027954,0.01995362,0.049525779,,,
762,21,20.831,0.073819987,2105.375977,0.02211988,0.052811012,,,
762,22,21.438,0.076520003,2245.35498,0.023993701,0.058188859,,,
762,23,21.941,0.078440003,2373.285889,0.026397631,0.049852058,,,
762,24,22.435,0.08072,2517.696533,0.02835371,0.058863912,,,
762,25,23.034,0.082979999,2662.484375,0.031050149,0.048423208,,,
762,26,23.532,0.084879987,2787.617676,0.03275029,0.051292151,,,
762,27,23.937,0.086759999,2919.721924,0.035172481,0.050763369,,,
762,28,24.433,0.088639997,3054.992432,0.037649568,0.04565553,,,
762,29,24.937,0.090939999,3210.67041,0.04115954,0.056850031,,,
762,30,25.452,0.092900001,3352.526855,0.043993071,0.060225248,,,
762,31,26.034,0.09516,3514.029053,0.046945442,0.061114062,,,
762,32,26.437,0.097059987,3659.554932,0.04981555,0.067538232,,,
762,33,26.935,0.099019997,3804.950928,0.052411411,0.06659317,,,
762,34,27.431,0.100959986,3952.878662,0.055098761,0.074389942,,,
762,35,27.833,0.102880001,4103.845215,0.057712939,0.075312503,,,
762,36,28.336,0.104819998,4249.738281,0.060327049,0.078068927,,,
762,37,28.733,0.106339999,4380.164551,0.062566467,0.082220457,,,
762,38,29.132,0.108319998,4536.697754,0.065043569,0.087564558,,,
762,39,29.639,0.11022,4691.453125,0.067895427,0.096452653,,,
762,40,30.031,0.111780003,4816.927246,0.069961183,0.093673721,,,
762,41,30.432,0.11372,4974.590332,0.072419941,0.0994341,,,
762,42,30.84,0.11524,5099.04541,0.07419318,0.099445343,,,
762,43,31.238,0.116779998,5225.272461,0.076112673,0.100671694,,,
762,44,31.533,0.118340001,5356.692871,0.078279004,0.099006571,,,
762,45,31.941,0.119879998,5488.744141,0.080198497,0.107005857,,,
762,46,32.333,0.121420003,5619.905762,0.082373917,0.106848352,,,
762,47,32.732,0.123340003,5786.293457,0.084850937,0.114982627,,,
762,48,33.136,0.124899998,5917.955566,0.087017268,0.112102441,,,
